text,airline_sentiment,airline_sentiment_confidence,cleaned_text,label
@VirginAmerica What @dhepburn said.,neutral,1.0,said,0
@VirginAmerica I didn't today... Must mean I need to take another trip!,neutral,0.6837,today must mean need take another trip,0
"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative,1.0,really aggressive blast obnoxious entertainment guest face amp little recourse,-1
@VirginAmerica and it's a really big bad thing about it,negative,1.0,really big bad thing,-1
"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative,1.0,seriously would pay flight seat playing really bad thing flying va,-1
"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",positive,0.6745,yes nearly every time fly ve ear worm go away,1
"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",neutral,0.634,really missed prime opportunity men without hat party,0
"@virginamerica Well, I didn't…but NOW I DO! :-D",positive,0.6559,well,1
"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",positive,1.0,amazing arrived hour early good,1
@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,neutral,0.6769,know suicide second leading cause death among been,0
@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,positive,1.0,it pretty graphics much better minimal iconography,1
@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,positive,1.0,great deal already thinking nd trip amp even gone st trip yet p,1
@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,positive,0.6451,flying fabulous seductive sky u take stress away travel,1
@VirginAmerica Thanks!,positive,1.0,thanks,1
@VirginAmerica SFO-PDX schedule is still MIA.,negative,0.6842,so pox schedule still ma,-1
@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,positive,1.0,excited first cross country flight lax co heard nothing great thing virgin america daystogo,1
@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,negative,1.0,flew ny so last week fully sit seat due two large gentleman either side help,-1
I ❤️ flying @VirginAmerica. ☺️👍,positive,1.0,flying,1
@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,positive,1.0,know would amazingly awesome boy all please want fly,1
